Hire purchase is used#To increase working capital,To increase inventory,To increase cash holdings,When purchasing assets such as plant equipment machinery and vehicles:When purchasing assets such as plant equipment machinery and vehicles
Factoring  in a simple term means#purchasing fixed asset,stock acquisition,dividend payment,selling of debt:selling of debt
Microfinance are meant to meet#Financial needs of large manufacturing companies,Financial needs of women only,financial needs of the poor only,Financial needs of Micro Small and Medium enterprises conglomerate:Financial needs of Micro Small and Medium enterprises
Debenture is a#Accrual Accounts,debt instrument,insurance certificate,Treasury certificate:debt instrument
The study of entrepreneurship encourages us to be_________in the society#reliable,lazy,inadequate,independent:reliable
Differentiation is the act of making your product to be#identified,unique,similar,good:unique
Free entry and exit is one of the conditions of#monopoly,marketing,duopoly,perfect market:perfect market
None of the following is a form of business ownership except#capitalism,welfarism,partnership,Joint stock:Joint stock
A cheque can be safeguarded against theft if it is#Open,Crossed,Stamped,Drawn with a name on it:Crossed
 This is a statement which gives details of the financial position of a business as at a given date#Bank statement,Cash book,Balance sheet,Final accounts:Balance sheet
 Which of the words below is usually used to describe a business agreement?#Transaction,Accounting,Book-keeping,Prospectus:Prospectus
 This document is usually prepared when a company sells goods to somebody#Debit note,Invoice,Receipt,Credit note:Invoice
 Which of the following documents below is used to deposit money in a current account?#Credit note,Cheque book,Paying-in slip,Pass book:Paying-in slip
 The art of recording business transactions in a systematic manner is termed#Double entry,Account entry,Book-keeping,Single entry:Book-keeping
 Modern book-keeping is based on the principles of?#Double entry,Receipt and payments,Debits and credits,Income and expenditure:Double entry
 Complete this statement>> "Every debit entry must....."#Have a corresponding credit entry,Appear on the credit side of a trial balance,Have a document attached,Accompany a transaction:Have a corresponding credit entry
 "The drawer drawee and payee are the parties to a"#Negotiable Instrument,Receipt,Bank Draft,Cheque:Cheque
 The golden rule of double entry book-keeping is that#Every asset must have a liability,All transaction must be recorded twice,For every credit entry there must be a corresponding debit entry,Every double debit must have a double credit:For every credit entry there must be a corresponding debit entry
 The term e-commerce includes#Electronic trading of Physical goods and intangibles such as information,The electronic provision of services such as after sales support or online legal advice,All the steps involved in trade such as on-line marketing ordering payment and support for delivery,All trade involved in the internet:All trade involved in the internet
 Which of the following is the largest community in classification of e-commerce?#Business to Business (B to B),Business to Consumer (B to C),Business to Government (B to G),All of the above:Business to Consumer (B to C)
 Which of the following is not the example of business to consumer (B to C) e-commerce?#Amazon.com,e-bay.com,dell.com,lastminute.com:e-bay.com
 The types of Business to Business e-commerce are#Direct selling and support to Business,Industry portals,Information sites about e- commerce,All of the above:All of the above
 Which of the following are the benefits of E-marketing? (i) Speed (ii) Reach and Penetration (iii) Ease and Efficiency (iv) Low Cost (v) Targeted audience#i. iii. iv. and v only,i. ii. iii. and iv. only,ii. iii. iv and v only,All i. ii. iii. iv and v:All i. ii. iii. iv and v
 __________ is the process of recreating a design by analyzing a final product.#Reverse Engineering,Backward Engineering,None of the above,All of the above:Reverse Engineering
 Which of the following is one of the most predominant factors in the credibility of a web site?#Design look,Information accuracy,Information design/structure,All of the above:Information accuracy
 What is the full form of SWIFT?#Society for Worldwide Internet Financial Telecommunications,Secret Wide Interbank Financial Telecommunications,Society for Worldwide Interbank Financial Telecommunications,None of the above:Society for Worldwide Interbank Financial Telecommunications
 All the following are sources of finance except#Personal Savings,Borrowing from Friends and Relations,Retained Earnings,Dividend:Dividend
 __________is the most common source of financing for small business enterprises#Accrual Accounts,Retained Earnings,Personal Savings,Bills Discounting:Personal Savings
 Trade credit as a source of fund occurs when #Obtain loan from a Bank,Obtain loan from relations,Enter into hire purchase agreement,Buyer makes an arrangement with the seller to buy goods on credit and pay later:Buyer makes an arrangement with the seller to buy goods on credit and pay later
 Accrual account includes the following except#salaries,water bill,electricity bill,loans:loans
 Undistributed profit used as a source of finance is called#Retained earning,Venture capital,Bankers acceptance,leasing:Retained earning
 Hire purchase is used when#purchasing fixed asset,obtaining mortgage,settled debtors,purchase of shares:purchasing fixed asset
 Leasing is a concept used to#finance working capital,Rent machinery,purchase insurance policy,None of the above:Rent machinery
 Advantages of internal sources of finance include the following#capital is immediately available,there is no interest payable on such fund,there is no third party�s influence,All of the above:All of the above
 Writing a Business Plan Involves one of the following#Strategize,Legal Requirement,Business Idea,Implementation:Business Idea
 One of the following is NOT an Element of a Business Plan#Front Matter,Market,Personnel,Research:Research
 An important  aspect of Profitability in Business Involves#Company Return on Investment,Personnel,Stationery,Production:Company Return on Investment
 One of the following is NOT part of the Importance of a Business Plan#Gives Clean Vision,Serves as a control Mechanism,Fulfil Legal Requirement,Set out Implementation time Lines:Set out Implementation time Lines
 Business Plan Assist the following types  of Businesses EXCEPT#Starter(New),Comatose,Growing,On going:Comatose
 A Business Plan is relevant to the following with the EXCEPTION of#Political Party,Individual,Company,Government Parastatals:Individual
 A Front Matter Covers the Following EXCEPT#Title Page,Table of contents,Executive summary,Balance Sheet,Vision & Mission statement:Balance Sheet
 The name Business Plan can be used interchangeably with one of the following #Business road Map,Business Strategy,Business Idea,Business requirement:Business road Map
 Marketing influences______________of an organisation#failure,product,success,loss:success
 Marketing encompasses interrelated and interdependent���#procedure,structure,behavior,activities:activities
 Small businesses have the capacity to _____________with clients#fight,interact,suspend,purnish:interact
 Anything offered capable of satisfying a need or want is called#mattress,need,want,product:product
 Any pursuasive communication towards influencing purchase is referred as#promotion,gift,arrival,influence:promotion
 "An information about an individual product or organization is called"#awareness,publicity,advert,inform:advert
 Communication with people by a company to influence the purchase of its product is#promotion,advert,sales,purchase:promotion
 Paid non personal communication through various media is known as #sales rep,purchase,promo,advertisement:advertisement
