 The following are examples fo tropical diseases except.........#Changas disease,African trypanosomiasis,Leprosy,Cancer:Cancer
 Sleeping sickness is a parasitic disease caused by a protozoa called..........#Trypanosomiasis,Brucei gamblesie,Tse-tse fly,Virus:Trypanosomiasis
 Malaria is caused by protozoan parasite because they are.........#Juice eaters,Scavengers,Blood eaters,Detritus:Blood eaters
 River blindness is the world second leading infectious cause of blindness. It is transmitted through the bite of________________#Onchocerciasis,Black fly,Anopheles,Loa loa:Black fly
 Viral hermorrhageic fevers comprise of#Ebola viral disease,Lassa fever,Dengue fever,All of the above:All of the above
 The first known outbreak of Ebola virus was in the year________#1988,1976,2014,1990:1976
 All of these are signs and symptoms of Ebola viral disease except#Fatigue,Fever,Headache and pain,Indigestion:Indigestion
 The average time taken between contracting infection of Ebola and start of symptom is________#2 - 21 days,9 -10 days,15 - 21 days,Two weeks:2 - 21 days
 Early symptoms of Ebola may be similar to malarial fever before it progress to_________#Coughing,Chest pain,Bleeding,Diarrhea:Bleeding
 Ebola virus can be transmitted through__________#Airborne,Body fluids,Hugging,Dog:Body fluids
 The natural reservoirs of Ebola virus are........ and ........#Bird and reptiles,Amphibians and arthropods,Mammals and annelids,Bats and monkeys:Bats and monkeys
 The diagnosis of Ebola is done through the following except..........#Isolating the virus,Detecting its RNA,Detecting its antibodies,Virus in the blood:Virus in the blood
 The following are preventive measures of Ebola virus except.........#Washing of patients' vomits,Contact tracing,Quarantine,Washing using soap and water:Washing of patients' vomits
 A French nun who contracted Ebola was cured with..........#Bex4430,Brincidofix,Favipravir,Lamuvidine:Favipravir
 An antiviral drugs usually use in the treatment of HIV/AIDS was reported to have cured some Ebola infected people is called.........#Brancidofovir,Lamuvidine,Zmapp,None of the above:Zmapp
 Lassa fever was first identified in the year_________#1979,1958,1969,1980:1969
 The natural reservoir of lassa fever is.........#Cat,Rat,Dog,Lizard:Rat
 Transmission of lassa fever is through.........#Eating infected animals,Urine and Dropping,Contact with food,None of the above:Urine and Dropping
 The incubation period of Lass disease is ........#2 - 5 days,7 - 21 days,3 months,72 hours:7 - 21 days
 Dengue fever is caused by..........#Monkey,Bat,Aedes,Culex:Aedes
 Modern method of contraception include the following except...........#Condoms,Pills,Injections,Contestation:Contestation
 Female genital mutilation has negative effect such as........#Hemorrhages,Child birht,Death,Herpe:Hemorrhages
 Common STDs include the following except........#Condoms,Gonorrhea,HIV/AIDS,Syphilis:Condoms
 Prevention of tropical disease include the following except.......#Use of insecticide,Use of mosquito nets,Use of treated water,Use of night time transmission:Use of night time transmission
 The first person to be diagnosed with Ebola virus was.......#Mobutu Sesseko,Mongaka,Mabalo Loleka,Karl Johnson:Mabalo Loleka
 Greenhouse effect is the capacity of some gasses in the .......... to trap heat emitted by the earth surface thereby heating or warming the planet.#Troposphere,Themosphere,Amosphere,Ozone layaer:Amosphere
 Nitrous oxide traps about .......... times more heat in the atmosphere than does the same amount of carbon dioxide.#430 times,300 times,230 times,30 times:300 times
 The normal earth's climate is estimated at.......... for most living organisms to survive.#22 degree celcius (47 Farenheit),43 degree celcius (59 Farenheit),23 degree celcius (49 Farenheit),33 degree celcius (59 Farenheit):33 degree celcius (59 Farenheit)
